news,name
"On Wednesday, the US imposed preliminary duties of 126% on solar imports from India, after determining the South Asian country unfairly subsidized manufacturing.  The hefty levies are expected to effectively shut Indian solar panel makers out of the US market, analysts said.  The action came a day after the World Trade Organization’s dispute settlement body agreed to establish a panel to examine Beijing’s complaint that India’s incentive programs in automotive and renewable energy technologies unfairly favor domestic goods over imports, putting Chinese products at a disadvantage.",Adani Enterprises Ltd.
Adani Enterprises says the move could catalyse $150 billion more across AI infrastructure sectors over the next decade.,Adani Enterprises Ltd.
"Less than two weeks after New Delhi announced its tax break bonanza, Adani Group is brute forcing its way to India's infrastructure build out.",Adani Enterprises Ltd.
The conglomerate’s investment would be a boost to the country’s ambitions to become a global leader in artificial intelligence.,Adani Enterprises Ltd.
"Indian billionaire Gautam Adani is joining the frantic artificial-intelligence buildout, with his Adani Group planning to invest $100 billion in data centers. Adani's conglomerate, which spans energy, mining, transportation and infrastructure, aims to build a data-center platform that will generate 5 gigawatts from renewable energy by 2035.",Adani Enterprises Ltd.
"By Urvi Dugar and Abinaya V Feb 17 (Reuters) - Adani Enterprises said on Tuesday that it will invest $100 billion to build renewable-powered AI-ready data centres by 2035, positioning India as a",Adani Enterprises Ltd.
"By Arpan Chaturvedi NEW DELHI, Feb 11 (Reuters) - An Indian court has sentenced a journalist to one year in jail for some of his social media posts on the Adani Group, saying they were unverified,",Adani Enterprises Ltd.
Feb 10 (Reuters) - Adani Enterprises said on Tuesday that a U.S. agency is conducting a civil investigation into the company's transactions that may have involved Iran or parties subject to U.S.,Adani Enterprises Ltd.
"Adani Enterprises Ltd (BOM:512599) reports robust financial performance with strategic expansions, despite facing market headwinds.",Adani Enterprises Ltd.
"Feb 3 (Reuters) - India's Adani Enterprises, the flagship company of the Adani Group, reported a higher third-quarter profit on Tuesday as gains in its airport and renewable energy divisions helped",Adani Enterprises Ltd.
"Indian stocks jumped after President Trump agreed to slash tariffs on the country. The U.S. is lowering levies on Indian goods to 18% after the two nations struck a trade pact and Trump said New Delhi, led by Prime Minister Narendra Modi, agreed to stop buying Russian oil.",Adani Ports and Special Economic Zone Ltd.
"Feb 3 (Reuters) - India's Adani Ports and Special Economic Zone, reported a higher third-quarter profit on Tuesday, reflecting strong volume growth, and appointed Sreedhar Krishna Menon as its new",Adani Ports and Special Economic Zone Ltd.
"Karan Adani, head of the Adani Group’s ports unit, says more must be done to attract companies as manufacturers seek alternatives to China.",Adani Ports and Special Economic Zone Ltd.
"(Reuters) -India's Adani Ports and Special Economic Zone on Tuesday forecast revenue from its logistics segment to grow multi-fold by fiscal year 2029, as it expands into allied services to hedge",Adani Ports and Special Economic Zone Ltd.
"India's market regulator is still looking into more than a dozen allegations that Adani Group and its offshore funds broke securities regulations, two sources with direct knowledge of the investigations said on Friday.  They spoke a day after the Securities and Exchange Board of India (SEBI) dismissed two allegations - one of stock manipulation, the other non-disclosure of related party transactions - made two years ago against Adani by U.S. short-seller Hindenburg Research.  The conglomerate owned by billionaire Gautam Adani - which includes infrastructure giants Adani Ports (APSE.NS) and Adani Power (ADAN.NS) as well as his flagship Adani Enterprises - has regularly dismissed all the allegations by Hindenburg as baseless.",Adani Ports and Special Economic Zone Ltd.
"The Securities and Exchange Board of India on Thursday dismissed allegations of stock manipulation against billionaire Gautam Adani and his group of companies made by U.S. short-seller Hindenburg Research.  SEBI began investigating Adani Group companies, including  Adani Ports, Adani Power and Adani Enterprises, in 2023 after Hindenburg accused them of using tax havens and failing to disclose transactions between related parties.",Adani Ports and Special Economic Zone Ltd.
"India's biggest private port operator is seen as a proxy for long-term infrastructure prospects in the world's fastest growing major economy.  The company operates 15 domestic ports and terminals, and four international ones - including one in Haifa, a major port city in Israel.  The Haifa port clocked highest quarterly revenue and operating core profits since the group acquired and privatised it in 2022, Adani Ports said.",Adani Ports and Special Economic Zone Ltd.
(Updates with Adani Group comments in the fifth paragraph.) Mitsubishi UFJ Financial Group (MUFG),Adani Ports and Special Economic Zone Ltd.
Mitsubishi UFJ Financial Group (MUFG) is in discussions with two Adani Group units to provide $250 m,Adani Ports and Special Economic Zone Ltd.
"MUMBAI (Reuters) -Adani Ports and Special Economic Zone, India's largest private port operator, has placed its longest-tenor debt with state-run Life Insurance Corporation of India, two sources familiar with the matter said on Thursday.  The company raised 50 billion rupees ($585.33 million) through the sale of bonds maturing in 15 years at 7.75% annual coupon and the debentures were fully bought by LIC, the sources said, declining to be identified as they are not authorised to speak to the media.  The bonds were issued at the lowest spread over the corresponding government bond yield in the last seven years.",Adani Ports and Special Economic Zone Ltd.
"Apollo Hospitals Enterprise Ltd (BOM:508869) reports robust financial performance with strategic expansions, despite facing digital business hurdles.",Apollo Hospitals Enterprise Ltd.
"By Bharath Rajeswaran and Vivek Kumar M BENGALURU, Feb 11 (Reuters) - Indian benchmark indexes ended little changed on Wednesday after a three-session rising streak, while robust earnings propped up",Apollo Hospitals Enterprise Ltd.
By Rishika Sadam Feb 10 (Reuters) - India's Apollo Hospitals Enterprise forecast mid to high teens percentage revenue growth for the year ahead after it posted a bigger-than-expected rise in quarterly,Apollo Hospitals Enterprise Ltd.
Apollo Hospitals Enterprise Ltd (BOM:508869) reports a 13% revenue increase and outlines strategic expansion despite challenges in patient volumes and new hospital costs.,Apollo Hospitals Enterprise Ltd.
"By Rishika Sadam and Kashish Tandon (Reuters) -Apollo Hospitals reported second-quarter profit slightly below estimates and said it would lean more on specialty care to drive growth, the company said",Apollo Hospitals Enterprise Ltd.
The partnership underscores Apollo's ambition to broaden its global presence.,Apollo Hospitals Enterprise Ltd.
"The deal includes purchasing over $4.64m in equity shares at $3.14 per share, totalling $142m in cash.",Apollo Hospitals Enterprise Ltd.
